STATE,AGE.REFP,SEX.REFP,AGE.SPOUSE,SEX.SPOUSE,NUM.CHILD,SALARY,EDU.FATHER,EDU.MOTHER,RACE.SPOUSE,RELIGION.SPOUSE,RACE.REFP,RELIGION.REFP
0,39,1,35,2,7,0,5,5,1,16,1,16
24,33,1,30,2,4,0,0,99,1,16,1,16
0,30,1,29,2,4,0,0,0,7,16,1,16
12,70,1,68,2,0,0,6,6,1,16,1,16
0,28,1,28,2,3,0,7,7,1,16,1,16
17,88,2,0,0,0,0,0,0,0,0,1,16
53,85,2,0,0,0,0,0,0,0,0,1,16
17,61,1,0,0,0,0,0,0,0,0,1,14
53,60,1,70,2,0,60000,7,7,1,18,1,1
53,39,1,28,2,3,0,4,8,1,16,1,16
17,36,2,0,0,1,0,0,0,0,0,1,1
17,34,1,33,2,0,61000,7,8,1,1,1,1
17,58,1,0,0,1,0,0,0,0,0,1,18
17,47,1,38,2,5,0,4,3,1,14,7,4
17,38,1,37,2,2,56500,4,4,1,15,1,4
53,45,1,45,2,0,0,2,4,1,99,1,99
6,32,1,29,2,0,0,8,7,1,16,1,2
36,65,1,0,0,0,0,0,0,0,0,1,2
36,44,1,36,2,0,0,6,4,1,1,1,1
25,26,2,0,0,0,46000,0,0,0,0,1,4
36,59,1,59,2,0,157000,4,4,1,4,1,4
36,68,1,64,2,0,0,4,4,1,4,1,4
47,67,1,0,0,0,0,0,0,0,0,1,6
47,33,1,0,0,0,0,0,0,0,0,1,4
27,78,1,73,2,0,0,4,6,1,9,1,9
27,52,1,52,2,1,100000,8,6,1,9,1,9
16,70,2,0,0,0,0,0,0,0,0,1,9
6,65,1,60,2,0,0,2,4,1,14,3,14
32,36,1,34,2,0,100000,4,4,1,12,1,3
45,74,1,0,0,0,0,0,0,0,0,1,1
6,56,1,49,2,0,0,4,5,1,9,1,9
6,34,1,28,2,2,0,4,4,1,14,1,1
48,48,1,45,2,1,0,4,3,1,6,1,6
48,26,1,26,2,0,50000,7,7,1,6,1,6
29,45,2,0,0,1,49000,0,0,0,0,1,1
8,43,1,44,2,0,0,4,3,1,2,1,2
6,49,1,47,2,0,110000,5,5,1,2,1,2
48,47,1,44,2,2,0,8,4,1,1,1,1
